,DBN,School Name,BN,Number of Students_K_G&T,Number of Classes_K_G&T,Average Class Size_K_G&T,Minimum Class Size_K_G&T,Maximum Class Size_K_G&T,Number of Students_K_ICT,Number of Classes_K_ICT,Average Class Size_K_ICT,Minimum Class Size_K_ICT,Maximum Class Size_K_ICT,Number of Students_K_Gen Ed,Number of Classes_K_Gen Ed,Average Class Size_K_Gen Ed,Minimum Class Size_K_Gen Ed,Maximum Class Size_K_Gen Ed,Number of Students_K_ICT & G&T,Number of Classes_K_ICT & G&T,Average Class Size_K_ICT & G&T,Minimum Class Size_K_ICT & G&T,Maximum Class Size_K_ICT & G&T,Number of Students_1_G&T,Number of Classes_1_G&T,Average Class Size_1_G&T,Minimum Class Size_1_G&T,Maximum Class Size_1_G&T,Number of Students_1_ICT,Number of Classes_1_ICT,Average Class Size_1_ICT,Minimum Class Size_1_ICT,Maximum Class Size_1_ICT,Number of Students_1_Gen Ed,Number of Classes_1_Gen Ed,Average Class Size_1_Gen Ed,Minimum Class Size_1_Gen Ed,Maximum Class Size_1_Gen Ed,Number of Students_1_ICT & G&T,Number of Classes_1_ICT & G&T,Average Class Size_1_ICT & G&T,Minimum Class Size_1_ICT & G&T,Maximum Class Size_1_ICT & G&T,Number of Students_2_G&T,Number of Classes_2_G&T,Average Class Size_2_G&T,Minimum Class Size_2_G&T,Maximum Class Size_2_G&T,Number of Students_2_ICT,Number of Classes_2_ICT,Average Class Size_2_ICT,Minimum Class Size_2_ICT,Maximum Class Size_2_ICT,Number of Students_2_Gen Ed,Number of Classes_2_Gen Ed,Average Class Size_2_Gen Ed,Minimum Class Size_2_Gen Ed,Maximum Class Size_2_Gen Ed,Number of Students_2_ICT & G&T,Number of Classes_2_ICT & G&T,Average Class Size_2_ICT & G&T,Minimum Class Size_2_ICT & G&T,Maximum Class Size_2_ICT & G&T,Number of Students_3_G&T,Number of Classes_3_G&T,Average Class Size_3_G&T,Minimum Class Size_3_G&T,Maximum Class Size_3_G&T,Number of Students_3_ICT,Number of Classes_3_ICT,Average Class Size_3_ICT,Minimum Class Size_3_ICT,Maximum Class Size_3_ICT,Number of Students_3_Gen Ed,Number of Classes_3_Gen Ed,Average Class Size_3_Gen Ed,Minimum Class Size_3_Gen Ed,Maximum Class Size_3_Gen Ed,Number of Students_3_ICT & G&T,Number of Classes_3_ICT & G&T,Average Class Size_3_ICT & G&T,Minimum Class Size_3_ICT & G&T,Maximum Class Size_3_ICT & G&T,Number of Students_4_G&T,Number of Classes_4_G&T,Average Class Size_4_G&T,Minimum Class Size_4_G&T,Maximum Class Size_4_G&T,Number of Students_4_ICT,Number of Classes_4_ICT,Average Class Size_4_ICT,Minimum Class Size_4_ICT,Maximum Class Size_4_ICT,Number of Students_4_Gen Ed,Number of Classes_4_Gen Ed,Average Class Size_4_Gen Ed,Minimum Class Size_4_Gen Ed,Maximum Class Size_4_Gen Ed,Number of Students_4_ICT & G&T,Number of Classes_4_ICT & G&T,Average Class Size_4_ICT & G&T,Minimum Class Size_4_ICT & G&T,Maximum Class Size_4_ICT & G&T,Number of Students_5_G&T,Number of Classes_5_G&T,Average Class Size_5_G&T,Minimum Class Size_5_G&T,Maximum Class Size_5_G&T,Number of Students_5_ICT,Number of Classes_5_ICT,Average Class Size_5_ICT,Minimum Class Size_5_ICT,Maximum Class Size_5_ICT,Number of Students_5_Gen Ed,Number of Classes_5_Gen Ed,Average Class Size_5_Gen Ed,Minimum Class Size_5_Gen Ed,Maximum Class Size_5_Gen Ed,Number of Students_5_ICT & G&T,Number of Classes_5_ICT & G&T,Average Class Size_5_ICT & G&T,Minimum Class Size_5_ICT & G&T,Maximum Class Size_5_ICT & G&T,Number of Students_6_ICT,Number of Classes_6_ICT,Average Class Size_6_ICT,Minimum Class Size_6_ICT,Maximum Class Size_6_ICT,Number of Students_6_Gen Ed,Number of Classes_6_Gen Ed,Average Class Size_6_Gen Ed,Minimum Class Size_6_Gen Ed,Maximum Class Size_6_Gen Ed,Number of Students_7_ICT,Number of Classes_7_ICT,Average Class Size_7_ICT,Minimum Class Size_7_ICT,Maximum Class Size_7_ICT,Number of Students_7_Gen Ed,Number of Classes_7_Gen Ed,Average Class Size_7_Gen Ed,Minimum Class Size_7_Gen Ed,Maximum Class Size_7_Gen Ed,Number of Students_8_ICT,Number of Classes_8_ICT,Average Class Size_8_ICT,Minimum Class Size_8_ICT,Maximum Class Size_8_ICT,Number of Students_8_Gen Ed,Number of Classes_8_Gen Ed,Average Class Size_8_Gen Ed,Minimum Class Size_8_Gen Ed,Maximum Class Size_8_Gen Ed,Number of Students_K-8 SC_SC 12:1:1,Number of Classes_K-8 SC_SC 12:1:1,Average Class Size_K-8 SC_SC 12:1:1,Minimum Class Size_K-8 SC_SC 12:1:1,Maximum Class Size_K-8 SC_SC 12:1:1,Number of Students_K-8 SC_SC 12:1,Number of Classes_K-8 SC_SC 12:1,Average Class Size_K-8 SC_SC 12:1,Minimum Class Size_K-8 SC_SC 12:1,Maximum Class Size_K-8 SC_SC 12:1,Number of Students_K-8 SC_SC 6:1:1,Number of Classes_K-8 SC_SC 6:1:1,Average Class Size_K-8 SC_SC 6:1:1,Minimum Class Size_K-8 SC_SC 6:1:1,Maximum Class Size_K-8 SC_SC 6:1:1,Number of Students_K-8 SC_SC 8:1:1,Number of Classes_K-8 SC_SC 8:1:1,Average Class Size_K-8 SC_SC 8:1:1,Minimum Class Size_K-8 SC_SC 8:1:1,Maximum Class Size_K-8 SC_SC 8:1:1,Number of Students_K-8 SC_SC 15:1,Number of Classes_K-8 SC_SC 15:1,Average Class Size_K-8 SC_SC 15:1,Minimum Class Size_K-8 SC_SC 15:1,Maximum Class Size_K-8 SC_SC 15:1
587,17K375,PS 375 JACKIE ROBINSON SCHOOL,K375,,,,,,18,1,18,18,18,31,2,15.5,<15,18,,,,,,,,,,,21,1,21,21,21,20,1,20,20,20,,,,,,,,,,,8,1,8,<15,<15,37,2,18.5,<15,26,,,,,,,,,,,,,,,,49,2,24.5,24,25,,,,,,,,,,,65,2,32.5,31,34,,,,,,,,,,,,,,,,74,4,18.5,<15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4,9,6,11,,,,,,,,,,,,,,,,,,,,
588,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,K382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,13.5,<15,<15,,,,,,38,2,19,15,23,,,,,,36,2,18,<15,23,,,,,,3,1,3,<6,<6,,,,,,,,,,,,,,,
589,17K394,MS K394,K394,,,,,,,,,,,53,2,26.5,26,27,,,,,,,,,,,25,1,25,25,25,24,1,24,24,24,,,,,,,,,,,22,1,22,22,22,22,1,22,22,22,,,,,,,,,,,23,1,23,23,23,18,1,18,18,18,,,,,,,,,,,,,,,,39,2,19.5,18,21,,,,,,,,,,,27,1,27,27,27,28,1,28,28,28,,,,,,,,,,,48,2,24,23,25,,,,,,47,2,23.5,23,24,,,,,,50,2,25,25,25,6,1,6,6,6,,,,,,,,,,,,,,,,,,,,
590,17K397,PS 397 FOSTER-LAURIE,K397,,,,,,17,1,17,17,17,16,1,16,16,16,,,,,,,,,,,25,1,25,25,25,,,,,,,,,,,,,,,,21,1,21,21,21,,,,,,,,,,,,,,,,16,1,16,16,16,18,1,18,18,18,,,,,,,,,,,23,1,23,23,23,,,,,,,,,,,,,,,,,,,,,41,2,20.5,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,17K398,PS 398 WALTER WEAVER,K398,,,,,,19,1,19,19,19,24,1,24,24,24,,,,,,,,,,,19,1,19,19,19,18,1,18,18,18,,,,,,,,,,,23,1,23,23,23,17,1,17,17,17,,,,,,,,,,,23,1,23,23,23,21,1,21,21,21,,,,,,,,,,,22,1,22,22,22,17,1,17,17,17,,,,,,,,,,,14,1,14,<15,<15,14,1,14,<15,<15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,10.33333,7,12,,,,,,,,,,,,,,,,,,,,
592,17K399,PS 399 STANLEY EUGENE CLARK,K399,,,,,,24,1,24,24,24,24,1,24,24,24,,,,,,,,,,,27,1,27,27,27,47,2,23.5,23,24,,,,,,,,,,,28,1,28,28,28,28,1,28,28,28,,,,,,,,,,,24,1,24,24,24,45,2,22.5,20,25,,,,,,,,,,,24,1,24,24,24,45,2,22.5,17,28,,,,,,,,,,,23,1,23,23,23,51,2,25.5,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,9,9,9,,,,,,,,,,,,,,,,,,,,
593,17K484,RONALD EDMONDS LEARNING CENTER II,K484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,26,26,26,24,1,24,24,24,29,1,29,29,29,27,1,27,27,27,,,,,,39,2,19.5,16,23,10,1,10,10,10,,,,,,,,,,,,,,,,,,,,
594,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",K531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,15,15,15,,,,,,23,1,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,
595,17K532,NEW BRIDGES ELEMENTARY,K532,,,,,,52,2,26,25,27,25,1,25,25,25,,,,,,,,,,,46,2,23,22,24,21,1,21,21,21,,,,,,,,,,,44,2,22,21,23,23,1,23,23,23,,,,,,,,,,,46,2,23,23,23,23,1,23,23,23,,,,,,,,,,,39,2,19.5,18,21,20,1,20,20,20,,,,,,,,,,,37,2,18.5,17,20,19,1,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",K543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,19,19,19,51,2,25.5,25,26,21,1,21,21,21,43,2,21.5,21,22,19,1,19,19,19,47,2,23.5,22,25,,,,,,,,,,,,,,,,,,,,,,,,,
597,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,K590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,4,37.5,31,>34,,,,,,115,4,28.75,28,30,,,,,,88,4,22,16,28,,,,,,,,,,,,,,,,,,,,,,,,,
598,17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,K705,,,,,,25,1,25,25,25,51,2,25.5,25,26,,,,,,,,,,,24,1,24,24,24,42,2,21,<15,30,,,,,,,,,,,23,1,23,23,23,29,1,29,29,29,,,,,,,,,,,21,1,21,21,21,27,1,27,27,27,,,,,,,,,,,28,1,28,28,28,,,,,,,,,,,,,,,,27,1,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,11.5,11,12,11,1,11,11,11,,,,,,,,,,,,,,,
599,17K722,NEW HEIGHTS MIDDLE SCHOOL,K722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,22,22,22,62,3,20.66666,18,23,24,1,24,24,24,38,2,19,17,21,19,1,19,19,19,41,2,20.5,19,22,25,3,8.333333,7,11,,,,,,,,,,,,,,,,,,,,
600,17K770,PS 770 NEW AMERICAN ACADEMY,K770,,,,,,22,1,22,22,22,39,2,19.5,19,20,,,,,,,,,,,,,,,,50,2,25,24,26,,,,,,,,,,,23,1,23,23,23,23,1,23,23,23,,,,,,,,,,,43,2,21.5,21,22,,,,,,,,,,,,,,,,35,2,17.5,16,19,,,,,,,,,,,,,,,,17,1,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,18K066,PS 66,K066,,,,,,21,1,21,21,21,42,2,21,21,21,,,,,,,,,,,21,1,21,21,21,47,2,23.5,23,24,,,,,,,,,,,21,1,21,21,21,46,2,23,22,24,,,,,,,,,,,25,1,25,25,25,47,2,23.5,22,25,,,,,,,,,,,26,1,26,26,26,60,2,30,28,32,,,,,,,,,,,31,1,31,31,31,64,2,32,32,32,,,,,,30,1,30,30,30,91,3,30.33333,28,32,,,,,,104,4,26,20,30,,,,,,100,4,25,18,31,11,3,3.666666,<6,<6,,,,,,,,,,,,,,,,,,,,
602,18K068,IS 068 ISAAC BILDERSEE,K068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,18,18,18,37,2,18.5,18,19,28,1,28,28,28,72,3,24,<15,31,29,1,29,29,29,100,4,25,18,28,39,3,13,12,14,,,,,,,,,,,,,,,,,,,,
603,18K114,PS 114 RYDER ELEMENTARY,K114,,,,,,24,1,24,24,24,48,2,24,24,24,,,,,,,,,,,21,1,21,21,21,42,2,21,20,22,,,,,,,,,,,26,1,26,26,26,44,2,22,19,25,,,,,,,,,,,49,2,24.5,24,25,25,1,25,25,25,,,,,,,,,,,42,2,21,21,21,26,1,26,26,26,,,,,,,,,,,28,1,28,28,28,54,2,27,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4,9.75,8,12,,,,,,,,,,,,,,,,,,,,
604,18K115,PS 115 DANIEL MUCATEL SCHOOL,K115,24,1,24,24,24,26,1,26,26,26,74,3,24.66666,24,26,,,,,,22,1,22,22,22,27,1,27,27,27,76,3,25.33333,25,26,,,,,,25,1,25,25,25,30,1,30,30,30,87,3,29,24,32,,,,,,31,1,31,31,31,27,1,27,27,27,79,3,26.33333,23,30,,,,,,24,1,24,24,24,60,2,30,29,31,60,2,30,30,30,,,,,,27,1,27,27,27,26,1,26,26,26,85,3,28.33333,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5,11.6,11,12,,,,,,,,,,,,,,,,,,,,
605,18K135,PS 135 SHELDON A BROOKNER,K135,,,,,,24,1,24,24,24,50,2,25,25,25,,,,,,,,,,,,,,,,62,2,31,30,32,,,,,,,,,,,,,,,,91,3,30.33333,30,31,,,,,,,,,,,,,,,,105,4,26.25,25,27,,,,,,,,,,,,,,,,82,3,27.33333,27,28,,,,,,,,,,,24,1,24,24,24,80,3,26.66666,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,9.333333,7,12,,,,,,,,,,,,,,,,,,,,
606,18K208,PS 208 ELSA EBELING,K208,,,,,,16,1,16,16,16,27,2,13.5,<15,<15,,,,,,,,,,,29,1,29,29,29,32,1,32,32,32,,,,,,,,,,,19,1,19,19,19,21,1,21,21,21,,,,,,,,,,,27,1,27,27,27,24,1,24,24,24,,,,,,,,,,,30,1,30,30,30,27,1,27,27,27,,,,,,,,,,,49,2,24.5,24,25,24,1,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,10.33333,9,11,,,,,,,,,,,,,,,,,,,,
607,18K211,IS 211 JOHN WILSON,K211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,27,27,27,90,3,30,29,31,26,1,26,26,26,149,5,29.8,28,31,49,2,24.5,23,26,113,4,28.25,24,30,54,6,9,7,12,,,,,,,,,,,,,,,,,,,,
608,18K219,PS 219 KENNEDY-KING,K219,,,,,,,,,,,70,3,23.33333,23,24,,,,,,,,,,,,,,,,58,3,19.33333,19,20,,,,,,,,,,,,,,,,65,3,21.66666,16,27,,,,,,,,,,,23,1,23,23,23,50,2,25,24,26,,,,,,,,,,,32,1,32,32,32,31,1,31,31,31,,,,,,,,,,,26,1,26,26,26,55,2,27.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,6,9.833333,6,12,,,,,,,,,,,,,,,,,,,,
609,18K233,PS 233 LANGSTON HUGHES,K233,,,,,,,,,,,61,3,20.33333,19,22,,,,,,,,,,,24,1,24,24,24,46,2,23,22,24,,,,,,,,,,,24,1,24,24,24,48,2,24,21,27,,,,,,,,,,,23,1,23,23,23,26,1,26,26,26,,,,,,,,,,,26,1,26,26,26,45,2,22.5,20,25,,,,,,,,,,,19,1,19,19,19,46,2,23,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,11,10,12,,,,,,,,,,,,,,,,,,,,
610,18K235,PS 235 LENOX SCHOOL,K235,,,,,,24,1,24,24,24,110,5,22,21,23,,,,,,,,,,,26,1,26,26,26,128,5,25.6,24,27,,,,,,,,,,,25,1,25,25,25,118,5,23.6,21,25,,,,,,,,,,,24,1,24,24,24,151,6,25.16666,23,27,,,,,,,,,,,,,,,,136,5,27.2,25,29,,,,,,,,,,,23,1,23,23,23,116,5,23.2,22,25,,,,,,,,,,,125,4,31.25,30,32,,,,,,83,3,27.66666,27,28,,,,,,88,3,29.33333,26,32,42,4,10.5,9,11,,,,,,,,,,,,,,,,,,,,
611,18K244,PS 244 RICHARD R GREEN,K244,,,,,,24,2,12,<15,15,18,2,9,<15,<15,,,,,,,,,,,35,2,17.5,<15,22,32,2,16,15,17,,,,,,,,,,,17,1,17,17,17,34,2,17,16,18,,,,,,,,,,,36,2,18,17,19,41,2,20.5,20,21,,,,,,,,,,,40,2,20,17,23,54,3,18,17,19,,,,,,,,,,,47,2,23.5,19,28,49,2,24.5,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,8,7,11,,,,,,,,,,,,,,,,,,,,
612,18K268,PS 268 EMMA LAZARUS,K268,,,,,,22,1,22,22,22,34,2,17,16,18,,,,,,,,,,,25,1,25,25,25,41,2,20.5,19,22,,,,,,,,,,,41,2,20.5,20,21,19,1,19,19,19,,,,,,,,,,,24,1,24,24,24,25,1,25,25,25,,,,,,,,,,,30,1,30,30,30,26,1,26,26,26,,,,,,,,,,,29,1,29,29,29,32,1,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,18K272,PS 272 CURTIS ESTABROOK,K272,,,,,,26,1,26,26,26,22,1,22,22,22,,,,,,,,,,,20,1,20,20,20,45,2,22.5,22,23,,,,,,,,,,,20,1,20,20,20,37,2,18.5,18,19,,,,,,,,,,,19,1,19,19,19,36,2,18,18,18,,,,,,,,,,,19,1,19,19,19,33,2,16.5,15,18,,,,,,,,,,,18,1,18,18,18,50,2,25,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,7,11.85714,10,14,,,,,,,,,,,,,,,,,,,,
614,18K276,PS 276 LOUIS MARSHALL,K276,,,,,,21,1,21,21,21,70,4,17.5,<15,25,,,,,,,,,,,25,1,25,25,25,55,3,18.33333,16,22,,,,,,,,,,,26,1,26,26,26,61,2,30.5,30,31,,,,,,,,,,,18,1,18,18,18,62,3,20.66666,17,23,,,,,,,,,,,30,1,30,30,30,69,3,23,19,26,,,,,,,,,,,26,1,26,26,26,58,2,29,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4,9,7,11,,,,,,,,,,,,,,,,,,,,
615,18K279,PS 279 HERMAN SCHREIBER,K279,,,,,,19,1,19,19,19,35,2,17.5,16,19,,,,,,,,,,,,,,,,45,2,22.5,22,23,,,,,,,,,,,,,,,,59,3,19.66666,19,20,,,,,,,,,,,18,1,18,18,18,41,2,20.5,20,21,,,,,,,,,,,22,1,22,22,22,43,2,21.5,21,22,,,,,,,,,,,,,,,,57,3,19,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,6,6,6,,,,,,,,,,,,,,,,,,,,
616,18K285,IS 285 MEYER LEVIN,K285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,25.5,25,26,179,6,29.83333,29,31,60,2,30,29,31,152,5,30.4,29,32,59,2,29.5,29,30,119,4,29.75,29,30,35,4,8.75,7,12,,,,,,,,,,,,,,,,,,,,
617,18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,23,23,23,107,4,26.75,26,28,69,3,23,18,27,39,2,19.5,19,20,27,1,27,27,27,100,4,25,23,28,28,3,9.333333,8,11,,,,,,,,,,,,,,,,,,,,
618,18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,K581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,16,16,16,20,1,20,20,20,52,2,26,20,32,,,,,,30,1,30,30,30,,,,,,10,1,10,10,10,,,,,,,,,,,,,,,,,,,,
619,18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,K588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,23,23,23,24,1,24,24,24,27,1,27,27,27,24,1,24,24,24,17,1,17,17,17,34,2,17,17,17,28,3,9.333333,8,11,,,,,,,,,,,,,,,,,,,,
620,18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,K598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2,15.5,<15,17,,,,,,48,2,24,21,27,,,,,,24,1,24,24,24,28,1,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,
621,18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,K763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,26,26,26,74,3,24.66666,23,27,27,1,27,27,27,51,2,25.5,24,27,20,1,20,20,20,46,2,23,19,27,7,1,7,7,7,5,1,5,<6,<6,,,,,,,,,,,,,,,
622,19K007,PS 007 ABRAHAM LINCOLN,K007,,,,,,25,1,25,25,25,118,6,19.66666,18,22,,,,,,,,,,,19,1,19,19,19,97,4,24.25,21,28,,,,,,,,,,,22,1,22,22,22,119,5,23.8,19,27,,,,,,,,,,,25,1,25,25,25,96,4,24,21,26,,,,,,,,,,,25,1,25,25,25,111,4,27.75,27,28,,,,,,,,,,,26,1,26,26,26,101,4,25.25,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5,10.6,9,12,,,,,,,,,,,,,,,,,,,,
623,19K013,PS 013 ROBERTO CLEMENTE,K013,,,,,,22,1,22,22,22,45,2,22.5,22,23,,,,,,,,,,,23,1,23,23,23,42,2,21,19,23,,,,,,,,,,,26,1,26,26,26,49,2,24.5,24,25,,,,,,,,,,,22,1,22,22,22,45,2,22.5,21,24,,,,,,,,,,,24,1,24,24,24,45,2,22.5,21,24,,,,,,,,,,,23,1,23,23,23,44,2,22,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,4,10.75,10,12,,,,,,,,,,,,,,,,,,,,
624,19K065,PS 065,K065,,,,,,24,1,24,24,24,65,3,21.66666,21,22,,,,,,,,,,,22,1,22,22,22,72,3,24,23,25,,,,,,,,,,,29,1,29,29,29,81,3,27,27,27,,,,,,,,,,,22,1,22,22,22,68,3,22.66666,21,24,,,,,,,,,,,26,1,26,26,26,103,4,25.75,25,26,,,,,,,,,,,26,1,26,26,26,79,3,26.33333,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,19K089,PS 089 CYPRESS HILLS,K089,,,,,,19,1,19,19,19,22,1,22,22,22,,,,,,,,,,,30,1,30,30,30,17,1,17,17,17,,,,,,,,,,,26,1,26,26,26,26,1,26,26,26,,,,,,,,,,,20,1,20,20,20,22,1,22,22,22,,,,,,,,,,,26,1,26,26,26,20,1,20,20,20,,,,,,,,,,,23,1,23,23,23,24,1,24,24,24,,,,,,29,1,29,29,29,29,1,29,29,29,22,1,22,22,22,24,1,24,24,24,27,1,27,27,27,25,1,25,25,25,,,,,,8,1,8,8,8,,,,,,,,,,,,,,,
626,19K108,PS 108 SAL ABBRACCIAMENTO,K108,,,,,,24,1,24,24,24,121,5,24.2,23,25,,,,,,,,,,,28,1,28,28,28,112,4,28,26,30,,,,,,,,,,,27,1,27,27,27,98,4,24.5,22,27,,,,,,,,,,,56,2,28,27,29,87,3,29,28,30,,,,,,,,,,,66,2,33,32,34,53,2,26.5,23,30,,,,,,,,,,,59,2,29.5,28,31,56,2,28,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,6,11.16666,9,12,,,,,,,,,,,,,,,,,,,,
627,19K149,PS 149 DANNY KAYE,K149,,,,,,22,1,22,22,22,56,3,18.66666,<15,25,,,,,,9,1,9,<15,<15,17,1,17,17,17,65,3,21.66666,21,22,,,,,,18,1,18,18,18,,,,,,74,3,24.66666,24,25,,,,,,17,1,17,17,17,,,,,,80,3,26.66666,26,27,,,,,,17,1,17,17,17,,,,,,91,3,30.33333,28,32,,,,,,,,,,,28,1,28,28,28,52,2,26,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,6,10.83333,7,12,,,,,,,,,,,,,,,,,,,,
628,19K158,PS 158 WARWICK,K158,,,,,,23,1,23,23,23,60,3,20,18,23,,,,,,,,,,,,,,,,83,4,20.75,16,25,,,,,,,,,,,,,,,,76,3,25.33333,24,27,,,,,,,,,,,,,,,,65,3,21.66666,20,23,,,,,,,,,,,,,,,,75,3,25,25,25,,,,,,,,,,,30,1,30,30,30,62,2,31,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,5,9.2,7,11,20,3,6.666666,<6,8,,,,,,,,,,,,,,,
